,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
1,347860,21.65,알체라,"11,350","1,950",20.74,"9,307,938","9,420","11,900","9,330","142,433","158,303",0.89974921511279
2,380540,21.07,옵티코어,"3,160",495,18.57,"23,376,798","2,610","3,230","2,610","126,256","205,762",0.6136021228409522
3,220180,19.56,핸디소프트,"4,065",635,18.51,"5,660,112","3,580","4,340","3,400","22,743","18,005",1.263149125242988
4,264850,18.36,이랜시스,"3,030",440,16.99,"5,556,339","2,560","3,100","2,560","38,655","41,001",0.9427818833686983
5,019770,16.00,서연탑메탈,"5,040",705,16.26,"7,830,733","4,345","5,630","4,345","68,678","89,117",0.7706498198996824
6,052020,13.62,에스티큐브,"15,850","1,750",12.41,"1,813,278","14,200","16,200","13,950","32,115","79,108",0.405963998584214
7,082660,11.45,코스나인,915,40,4.57,"3,094,650",871,920,821,"101,997","48,892",2.0861695164853145
8,106520,11.36,노블엠앤비,"1,765",220,14.24,"3,426,699","1,590","2,000","1,585","34,111","34,910",0.9771125751933544
9,229000,10.19,젠큐릭스,"5,950","1,170",16.43,"709,938","5,470","6,400","5,400","12,906","3,405",3.7903083700440527
10,041460,10.19,한국전자인증,"5,840",410,7.55,"4,513,305","5,400","5,970","5,300","42,502","39,024",1.0891246412464124
11,217480,9.86,에스디생명공학,"1,560",140,9.86,"2,568,852","1,435","1,635","1,420","63,014","154,200",0.40865110246433206
12,900310,9.51,컬러레이,"1,440",130,9.92,"14,984,217","1,330","1,455","1,315","406,392","590,964",0.6876764066846711
13,144960,8.65,뉴파워프라즈마,"4,270",380,9.77,"321,653","3,930","4,275","3,930","15,165","9,634",1.5741125181648328
14,099440,8.58,스맥,"2,025",140,7.43,"1,854,256","1,890","2,035","1,865","84,799","116,842",0.725757861043118
15,305090,8.45,마이크로디지탈,"4,300",135,3.24,"103,628","4,165","4,300","3,965","5,277","15,748",0.3350901701803404
16,340440,8.07,세림B&G,"2,410",150,6.64,"2,051,872","2,270","2,475","2,230","69,561","49,409",1.4078609160274445
17,277810,7.28,레인보우로보틱스,"60,400","3,700",6.53,"2,556,518","57,200","61,400","56,300","23,332","58,905",0.39609540786011377
18,128540,7.13,에코캡,"4,285",250,6.20,"4,029,309","4,040","4,630","4,000","43,428","10,557",4.113668655868144
19,215000,7.10,골프존,"128,300","8,600",7.18,"76,791","120,900","129,400","119,800",961,"5,508",0.1744734931009441
20,300080,6.79,플리토,"25,950","1,550",6.35,"280,036","24,650","26,750","24,300","9,336","4,331",2.155622258138998
21,073570,6.69,어반리튬,"16,750","1,150",7.37,"2,963,426","15,700","18,000","15,700","73,107","33,045",2.2123467998184294
22,199820,6.59,제일전기공업,"9,700",20,0.21,"3,707","9,100","9,760","9,100",385,"1,055",0.36492890995260663
23,046070,6.57,코다코,"1,135",60,5.58,"3,075,090","1,075","1,260","1,065","204,866","93,764",2.18491105328271
24,052220,6.21,iMBC,"3,590",145,4.21,"559,409","3,440","3,600","3,380","34,269","42,795",0.8007711181212759
25,348340,6.13,뉴로메카,"19,900",850,4.46,"2,321,348","19,050","20,500","18,750","61,396","83,457",0.7356602801442659
26,175140,5.87,인포마크,"7,030",290,4.30,"21,760","6,770","7,150","6,640","3,123","2,326",1.3426483233018056
27,236810,5.82,엔비티,"6,910",260,3.91,"4,200,284","6,610","7,130","6,530","76,372","33,383",2.2877512506365516
28,335890,5.74,비올,"3,775",175,4.86,"3,118,702","3,600","3,820","3,570","40,327","59,914",0.6730814166972661
29,134580,5.71,탑코미디어,"5,920",410,7.44,"1,519,783","5,780","6,220","5,600","8,513","24,614",0.3458600796294792
30,104540,5.47,코렌텍,"10,600",50,0.47,"24,424","10,550","10,700","10,050","10,078","57,037",0.17669232252748215
31,078890,5.33,가온미디어,"7,710",360,4.90,"755,048","7,380","7,880","7,320","27,904","16,798",1.661150136921062
32,357880,5.24,비트나인,"9,240",340,3.82,"1,041,226","9,000","9,450","8,780","6,899","19,006",0.3629906345364622
33,340570,5.08,티앤엘,"39,300","1,800",4.80,"111,589","38,100","39,400","37,400","3,396","26,582",0.12775562410653826
34,085670,5.06,뉴프렉스,"6,650",230,3.58,"880,224","6,460","6,680","6,330","24,137","65,810",0.3667679683938611
35,093640,4.95,다믈멀티미디어,"6,360",340,5.07,"479,227","6,550","6,600","6,060","26,221","6,397",4.09895263404721
36,389260,4.93,대명에너지,"23,400",950,4.23,"1,901,105","22,500","25,150","22,300","57,364","8,680",6.6087557603686635
37,047560,4.85,이스트소프트,"10,800",450,4.35,"537,176","10,400","11,050","10,300","39,295","112,080",0.3505977872947894
38,122310,4.84,제노레이,"8,440",370,4.58,"156,577","8,090","8,600","8,050","14,386","4,762",3.0209995800083997
39,187790,4.81,나노,"1,635",205,14.34,"17,307,156","1,625","1,755","1,560","159,737","177,511",0.8998709939102365
40,105330,4.81,케이엔더블유,"8,930",350,4.08,"37,298","8,520","8,960","8,520","3,746","5,771",0.6491076070005198
41,317850,4.78,대모,"13,150",600,4.78,"3,580,341","12,550","14,350","12,550","107,084","103,672",1.0329114900841114
42,419120,4.74,산돌,"14,350",500,3.61,"126,778","13,950","14,550","13,700","9,140","21,916",0.4170469063697755
43,200350,4.70,래몽래인,"24,500","2,600",11.87,"5,713,342","24,550","26,350","23,400","84,070","23,350",3.6004282655246254
44,171090,4.70,선익시스템,"20,050",700,3.62,"302,248","19,450","20,200","19,150","27,920","52,247",0.5343847493635998
45,182360,4.49,큐브엔터,"19,800",550,2.86,"129,256","19,350","19,900","18,950","12,998","41,987",0.30957201038416654
46,288330,4.48,브릿지바이오테라퓨틱스,"11,650",250,2.19,"23,798","11,400","11,650","11,150","13,006","13,719",0.9480282819447482
47,131100,4.47,초록뱀이앤엠,"2,690",115,4.47,"26,039","2,575","2,750","2,575","9,038","4,315",2.0945538818076477
48,101390,4.47,아이엠,"5,370",190,3.67,"38,813","5,190","5,470","5,140","1,131","11,441",0.0988549951927279
49,217620,4.37,디딤이앤에프,"1,315",30,2.23,"430,021","1,365","1,365","1,260","86,889","32,904",2.6406819839533187
50,205470,4.34,휴마시스,"18,050",550,3.14,"2,163,998","17,500","18,850","17,300","106,227","155,375",0.6836814159292035
51,096630,4.33,에스코넥,"1,035",46,4.65,"2,352,166",992,"1,105",992,"144,647","220,510",0.6559657158405514
52,032190,4.33,다우데이타,"41,000","1,400",3.54,"221,768","39,850","41,550","39,300","4,271","14,865",0.28731920618903467
53,376300,4.29,디어유,"36,500","1,050",2.96,"305,056","35,500","36,950","35,000","6,898","11,502",0.5997217875152148
54,190510,4.23,나무가,"16,000",400,2.56,"426,113","15,700","16,100","15,350","29,265","109,256",0.26785714285714285
55,108860,4.19,셀바스AI,"8,710",110,1.28,"1,040,635","8,600","8,750","8,360","37,615","29,209",1.287788010544695
56,121850,4.18,코이즈,"2,120",65,3.16,"3,066,801","2,065","2,200","2,035","378,206","67,003",5.644612927779353
