,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,096040,이트론,162,6,3.85,"96,095,370",156,179,156,"4,018,783","2,036,562",1.9733172866821633
1,207760,미스터블루,"3,650",465,14.60,"75,948,384","3,200","3,930","3,180","365,727","389,473",0.9390304334318426
2,111870,KH 전자,299,37,14.12,"56,001,076",267,340,265,"784,399","526,473",1.4899130629680915
3,226360,KH 건설,481,24,5.25,"51,302,191",464,524,445,"307,289","225,552",1.3623865006739022
4,053590,한국테크놀로지,565,9,1.57,"50,937,222",564,600,547,"647,150","475,143",1.3620110156310836
5,090710,휴림로봇,"2,540",75,3.04,"32,514,404","2,500","2,580","2,420","749,968","1,611,048",0.46551561468063024
6,019570,리더스 기술투자,583,7,1.19,"30,192,469",685,743,562,"153,225","103,976",1.4736573824728783
7,239340,줌인터넷,"4,900",220,4.70,"25,341,168","4,895","5,340","4,810","38,432","26,024",1.476790654780203
8,089530,에이티세미콘,"1,175",214,22.27,"22,813,813","1,015","1,240",989,"239,007","1,688,286",0.14156783862449845
9,331520,밸로프,"1,570",50,3.29,"17,077,886","1,525","1,695","1,520","248,521","206,028",1.2062486652299687
10,006910,보성파워텍,"4,315",120,2.86,"17,005,266","4,720","4,850","4,300","152,868","46,694",3.273825330877629
12,032820,우리기술,"1,535",30,1.99,"13,961,841","1,615","1,660","1,535","894,211","431,826",2.0707669292724384
13,082660,코스나인,867,136,18.60,"10,690,714",760,894,744,"46,778","32,975",1.418589840788476
14,334970,프레스티지바이오로직스,"3,220",205,6.80,"10,510,379","3,070","3,690","2,995","48,323","5,766",8.3806798473812
15,025980,아난티,"7,320",670,10.08,"10,440,227","6,800","7,500","6,780","57,076","215,873",0.264396195911485
16,121800,비덴트,"4,525",105,2.38,"9,878,267","4,635","4,740","4,440","113,374","62,830",1.8044564698392487
17,236810,엔비티,"6,600",450,7.32,"9,726,343","6,140","7,160","6,070","76,490","27,407",2.7908928375962345
18,227610,아우딘퓨쳐스,"2,930",925,23.99,"9,002,163","3,765","3,800","2,860","39,308","42,106",0.9335486628983993
19,347860,알체라,"9,510","2,060",27.65,"8,998,385","7,660","9,680","7,470","24,366","26,519",0.9188129265809419
20,043910,자연과환경,"1,290",70,5.15,"8,652,291","1,360","1,365","1,265","676,394","301,043",2.246835169726584
21,019550,SBI인베스트먼트,"1,220",45,3.83,"8,584,883","1,180","1,280","1,170","345,006","282,898",1.219542025747796
22,900280,골든센츄리,391,30,8.31,"8,354,298",383,393,373,"477,482","494,352",0.9658745185616726
23,041190,우리기술투자,"4,650",445,10.58,"8,271,725","4,455","4,850","4,320","93,088","17,234",5.401415805964953
24,053290,NE능률,"5,550",110,2.02,"8,001,334","5,280","6,220","5,270","53,358","15,034",3.549155248104297
25,089140,넥스턴바이오,"2,160",110,5.37,"7,952,011","2,050","2,320","2,030","156,089","125,627",1.2424797217158732
26,057030,YBM넷,"4,150",450,12.16,"7,816,433","3,760","4,660","3,725","11,675","41,674",0.28015069347794785
27,900310,컬러레이,"1,325",40,3.11,"7,707,063","1,320","1,370","1,300","309,367","226,967",1.3630483726709168
28,044060,조광ILI,"1,280",10,0.78,"7,364,498","1,320","1,360","1,280","294,684","561,803",0.5245326208653212
29,288980,모아데이타,"3,030",95,3.24,"7,245,462","2,920","3,040","2,820","107,651","146,450",0.7350699897575964
30,220180,핸디소프트,"3,480",465,15.42,"6,933,204","3,010","3,915","3,000","27,366","20,817",1.314598645337945
31,242040,나무기술,"2,615",35,1.32,"6,763,003","2,795","2,870","2,560","34,783","50,820",0.684435261707989
32,159910,스킨앤스킨,229,6,2.69,"6,507,906",224,230,222,"2,204,604","1,260,504",1.7489861198377792
33,357230,에이치피오,"8,130",800,10.91,"6,036,296","7,360","9,130","7,360","15,502","7,942",1.9519012843112566
34,263800,데이타솔루션,"7,450",830,12.54,"5,861,822","6,430","7,640","6,320","28,248","64,458",0.4382388532067393
35,014200,광림,"1,135",15,1.30,"5,853,157","1,145","1,160","1,120","719,186","466,722",1.540930146854016
36,348340,뉴로메카,"19,000","1,800",10.47,"5,778,407","17,300","20,000","16,900","52,425","37,298",1.4055713443080058
37,417840,저스템,"8,950",810,9.95,"5,460,419","8,160","9,910","8,110","11,522","6,731",1.7117813103550736
38,073640,테라사이언스,"2,395",30,1.27,"5,287,282","2,400","2,460","2,250","85,655","185,165",0.46258742202900116
39,036090,위지트,755,29,3.99,"5,126,043",763,785,750,"128,934","53,533",2.4084956942446714
40,215600,신라젠,"6,970",150,2.20,"5,053,065","6,690","7,500","6,670","73,999","27,073",2.7333136335094004
